	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc30	515rcbc28	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_20008_6.txt	20008	6	3430.15714286	2628.28178694	2930.01550388	2931.75	3078.41420118	3123.92638037	n/a	2718.31958763	2731.66433566	2779.06666667	3290.5952381	2999.4030303	3077.86363636	2747.17941176	3179.29190751	2867.54913295	2501.35093168	3112.96	2710.2987013	3189.24	3608.23015873	3076.7516129	3074.96551724	3059.17919075	3322.125	2939.10472973	3187.19614148	2958.89540816	2681.66202091	2619.28571429
alpha_rarefaction_20008_7.txt	20008	7	3528.72307692	2709.46768061	3079.27272727	2855.5276873	3089.39701493	3169.10434783	n/a	2919.85920578	2786.0037594	2830.32326284	3177.95939086	3128.77846154	2979.04651163	2965.53040541	3191.50442478	2959.75974026	2609.89642857	3250.37215909	2892.66898955	3294.16997167	3500.88760807	2918.86554622	3069.9221902	3005.40361446	3387.54293629	2905.6877193	3154.27848101	3088.03532609	2679.84	2449.66757493
alpha_rarefaction_20008_8.txt	20008	8	3562.79883382	2546.63973064	3123.50139276	2844.41065831	3233.0030303	3331.73684211	n/a	2896.77741935	2689.75	2805.30201342	3105.03807107	2964.2005988	2844.1	2881.87009063	3124.62804878	2988.92082111	2578.99337748	2900.46341463	2815.49090909	3232.56216216	3447.05511811	3027.05965909	3154.58588957	3155.315625	3405.6302521	2925.21359223	2999.44410876	2928.50531915	2654.1197411	2585.12386707
alpha_rarefaction_20008_9.txt	20008	9	3489.12820513	2636.32103321	3252.58823529	2789.7173913	3123.8362069	3373.26948052	n/a	2845.02758621	2742.92567568	2954.00961538	3145.70588235	2902.24661247	3160.52134146	2887.67313019	3047.06349206	2988.00344828	2546.86941581	3034.42702703	2693.71575342	3271.74223602	3440.096	2967.50746269	3274.20183486	3146.38080495	3472.01709402	2855.7173913	3213.35275081	3072.90304709	2694.42105263	2528.10682493
alpha_rarefaction_30007_0.txt	30007	0	4044.43767313	2878.94623656	3513.2757732	3224.37837838	3363.35384615	3644.61403509	n/a	3190.07142857	3032.5351682	3298.01960784	3457.64540816	3248.50847458	3393.20491803	3240.55084746	3417.51597052	3238.13043478	2910.99367089	3432.59791123	3200.25986842	3529.98469388	3791.85941043	3288.54263566	3411.68069307	3416.05785124	3733.23152709	3142.44144144	3214.23393316	3323.22921914	2840.13473054	2732.54881266
alpha_rarefaction_30007_1.txt	30007	1	4053.74285714	3139.43478261	3503.31007752	3165.23076923	3401.47368421	3486.64285714	n/a	3190.77014925	2890.26557377	3172.99101796	3462.10739857	3464.99456522	3343.74535809	3266.32198953	3438.44415584	3173.24137931	2905.1414791	3489.92307692	3081.17161716	3573.51538462	3778.90780142	3280.31372549	3653.84880637	3448.27077748	3824.74418605	3028.00857143	3206.38728324	3423.00815217	3044.65584416	2713.73979592
alpha_rarefaction_30007_2.txt	30007	2	3886.70694087	2922.4527027	3437.53056235	3219.27575758	3265.01538462	3675.9137931	n/a	3116.88448845	2895.6167147	3312.96036585	3315.30094787	3267.02512563	3486.36734694	3278.12465374	3574.01666667	3121.12569832	2949.06375839	3421.5	3209.003367	3621.84920635	3729.03571429	3218.72303922	3494.0703125	3481.70731707	3738.50721154	3057.05769231	3314.38243626	3314.14588859	2886.84090909	2722.19414894
alpha_rarefaction_30007_3.txt	30007	3	3735.72325581	3004.23076923	3495.48275862	3045.90027701	3361.30310881	3467.16537468	n/a	2998.28610354	3129.61538462	3323.60544218	3478.00714286	3410.02015113	3419.56198347	3367.26536313	3519.38297872	3273.14044944	2880.30967742	3418.68814433	3157.24104235	3386.02352941	3907.11881188	3334.4796748	3534.29639175	3448.04105572	3974.89473684	3055.18696884	3375.62931034	3262.0	2901.97476341	2724.30645161
alpha_rarefaction_30007_4.txt	30007	4	3904.50769231	2847.86666667	3417.13138686	3000.81653747	3338.136	3537.94594595	n/a	3164.26774194	2923.62426036	3138.18627451	3444.71527778	3369.69942197	3406.7027027	3171.96675192	3507.74262735	3209.77464789	2773.43037975	3286.3817734	3122.06188925	3726.96031746	3673.36	3352.70833333	3523.4015544	3468.90029326	3814.64028777	3018.0	3360.22928177	3304.38518519	2965.59433962	2712.10026385
alpha_rarefaction_30007_5.txt	30007	5	3909.68831169	2914.59507042	3402.15601023	3185.02747253	3286.00753769	3689.25	n/a	3229.00331126	3128.19520548	3055.09565217	3380.72027972	3494.32397959	3395.06353591	3244.04201681	3525.67005076	3235.24770642	2845.31531532	3422.03875969	3188.00651466	3468.51470588	3689.35416667	3229.02610966	3627.17857143	3556.24068768	3752.94306931	3222.90909091	3307.68486352	3231.50738916	3132.98019802	2690.93023256
alpha_rarefaction_30007_6.txt	30007	6	4044.74015748	3075.07342657	3443.71090047	3207.17847025	3324.34343434	3775.76807229	n/a	2979.0	3069.09836066	3127.35087719	3424.80941704	3470.46891192	3289.4464752	3335.72375691	3484.91857506	3147.52601156	2895.96842105	3376.88	3062.29836066	3604.096	3894.96068796	3406.3121547	3450.71573604	3244.94413408	3806.33937824	3152.50755287	3276.90462428	3268.03947368	3009.02730375	2786.66846361
alpha_rarefaction_30007_7.txt	30007	7	3948.91646192	2922.59752322	3499.67287234	3100.51351351	3319.03307888	3464.62597403	n/a	3025.05555556	3057.19736842	3248.3125	3328.53318584	3424.32432432	3458.00557103	3299.04132231	3486.55699482	3156.29005525	2838.24752475	3585.00271003	3031.03095975	3408.53164557	3907.86146096	3347.02506964	3631.89945652	3364.37398374	3633.01639344	3026.12605042	3420.06628242	3222.04622871	2946.21782178	2682.57070707
alpha_rarefaction_30007_8.txt	30007	8	3785.27951807	3075.67375887	3574.62318841	3282.26648352	3271.27061856	3670.5988024	n/a	3224.66167665	3259.55481728	3044.98417722	3524.51908397	3382.30693069	3439.50636132	3308.17032967	3622.5433526	3160.25138122	2767.42638037	3564.00857143	3173.3	3632.34120735	3900.26056338	3351.88190955	3604.42227979	3638.30769231	3790.80645161	3100.05769231	3288.82245431	3315.01554404	2864.23642173	2678.96891192
alpha_rarefaction_30007_9.txt	30007	9	3925.18639798	2886.66666667	3557.45728643	3147.85123967	3350.11825193	3463.01724138	n/a	3175.2238806	2891.7808642	3070.85294118	3281.31828442	3377.22279793	3343.59946237	3322.68011527	3387.75757576	3148.01626016	2855.06542056	3266.80246914	3095.86538462	3622.05450237	3936.90298507	3175.76633166	3438.5049505	3420.54986523	3842.71240106	3209.11111111	3332.14545455	3290.3030303	2947.70491803	2693.47594937
alpha_rarefaction_40006_0.txt	40006	0	4216.65859564	3168.43174603	3679.1214128	3285.00791557	3500.42957746	3803.52798054	n/a	3421.97965116	3196.18309859	3429.82228916	3592.57427938	3762.10178117	3764.33248731	3532.27525253	3637.5334873	3315.13577023	2992.08974359	3620.08801956	3279.91097923	3730.12585812	4064.76637555	3468.00767263	3723.12168142	3728.408	4120.63157895	3398.31372549	3617.01680672	3393.23165138	2975.68079096	n/a
alpha_rarefaction_40006_1.txt	40006	1	4395.37121212	3083.88719512	3719.61083744	3330.00759494	3435.30049261	3922.56914894	n/a	3366.81360947	3191.45810056	3358.15469613	3573.75663717	3760.79088472	3647.46231156	3651.61256545	3650.08695652	3219.98241206	2980.97014925	3725.32114883	3429.8625	3881.6278481	3974.04625551	3385.85159817	3673.04545455	3573.71649485	3925.40792541	3433.97493036	3591.79069767	3379.75227273	3092.18911175	n/a
alpha_rarefaction_40006_2.txt	40006	2	4443.44354839	3198.49074074	3712.93764988	3249.77832512	3704.53802817	3760.05614973	n/a	3163.06	3239.37790698	3309.78338279	3576.36323851	3831.95287958	3621.84328358	3485.89873418	3685.0234192	3249.16071429	3034.20820189	3680.02469136	3281.08256881	3944.12903226	4063.375	3662.59183673	3873.38861386	3620.29262087	3999.87581699	3360.77777778	3639.32397959	3380.16400911	3259.61320755	n/a
alpha_rarefaction_40006_3.txt	40006	3	4359.35662651	3198.28093645	3795.76829268	3348.02525253	3441.62439024	3900.96246649	n/a	3346.32544379	3182.88169014	3387.68333333	3502.42105263	3653.99511002	3738.40992167	3535.16080402	4006.06628242	3270.25944584	3060.485623	3603.28669725	3335.0297619	3994.27380952	4140.41479821	3578.40482574	3797.95652174	3671.81538462	4046.31177829	3320.0974212	3687.00271003	3379.89726027	3193.01759531	n/a
alpha_rarefaction_40006_4.txt	40006	4	4556.91168831	3131.57053292	3723.08	3288.0388601	3467.51724138	3936.04132231	n/a	3253.32478632	3329.46296296	3471.85626911	3570.89690722	3672.05263158	3677.79558011	3421.10514019	3747.17257683	3335.4535809	2941.61206897	3605.1567696	3367.54294479	3891.38235294	4203.55172414	3565.82124352	3922.87598945	3594.19414894	4262.62597403	3312.35324675	3588.86934673	3384.26940639	3244.0625	n/a
alpha_rarefaction_40006_5.txt	40006	5	4329.47772277	3028.42088608	3756.10311751	3194.29899497	3480.22524752	3749.22065728	n/a	3392.46280992	3344.02985075	3283.2892562	3660.3686747	3558.62009804	3718.63636364	3494.28467153	3735.18095238	3289.37595908	2939.47928994	3550.39583333	3299.48	3806.82014388	4124.73684211	3498.08933002	3911.76884422	3786.11267606	4033.0915493	3233.80428954	3632.76762402	3385.26940639	3029.42977528	n/a
alpha_rarefaction_40006_6.txt	40006	6	4152.11161731	3116.74757282	3743.18475751	3331.00763359	3490.02493766	3799.02469136	n/a	3321.14876033	3327.61764706	3429.38244514	3584.54229935	3655.8957346	3773.01149425	3464.94871795	3813.16935484	3327.55223881	3064.32407407	3587.01459854	3186.2462908	3815.45652174	4196.15777262	3560.91968912	3764.68704156	3598.74055416	4049.36160714	3365.53651685	3642.1155914	3376.63157895	3233.28571429	n/a
alpha_rarefaction_40006_7.txt	40006	7	4155.12240185	3106.95522388	3702.94638695	3199.60431655	3678.34231806	3763.8984375	n/a	3243.04054054	3312.47949527	3287.92035398	3556.34446764	3803.24874372	3728.408	3445.80049261	3676.08510638	3306.33164557	2965.22131148	3694.24069479	3354.46461538	3677.28985507	4141.16511628	3390.89655172	3693.78199052	3621.34739454	4089.50341686	3402.82898551	3594.56806283	3372.72727273	3072.1037464	n/a
alpha_rarefaction_40006_8.txt	40006	8	4362.53789731	3155.378125	3758.70289855	3332.57178218	3493.35324675	3940.62924282	n/a	3321.36260623	3238.62608696	3412.50581395	3579.47682119	3685.82070707	3531.2905569	3380.0	3656.25547445	3377.04	2960.34234234	3568.1598063	3294.40869565	3831.99244332	3853.47019868	3649.58823529	3759.35971223	3664.51968504	3931.12587413	3266.38418079	3558.56327543	3367.56433409	3238.50479233	n/a
alpha_rarefaction_40006_9.txt	40006	9	4249.96287703	3175.5686901	3705.0467706	3288.16836735	3503.16216216	3792.01530612	n/a	3228.55851064	3284.99411765	3339.32294618	3664.91588785	3837.27717391	3625.57462687	3525.96124031	3570.33251834	3357.0027027	2923.06413994	3676.02015113	3293.15133531	3815.4781491	4019.09698276	3531.50408719	3770.67447307	3605.55699482	3868.25531915	3306.00268817	3705.83663366	3373.26544622	3285.22508039	n/a
alpha_rarefaction_50005_0.txt	50005	0	4775.00236407	3324.54682779	3873.01339286	3363.75700935	3658.64788732	3977.46803653	n/a	3496.98618785	3637.90825688	3463.99152542	3648.38253638	3957.21980676	3956.13613861	3769.14030612	3904.97129187	3486.47979798	3107.54733728	3779.36781609	3398.54046243	4119.68649886	4311.28232759	3760.76566757	3928.0	3776.32227488	4201.94570136	3401.28	3691.01435407	n/a	3393.79646018	n/a
alpha_rarefaction_50005_1.txt	50005	1	4455.63362069	3177.56047198	3961.86453202	3358.75233645	3756.28169014	3965.10672854	n/a	3521.29301075	3332.85751979	3535.70731707	3636.86983471	3900.70731707	3852.51824818	3601.27906977	3847.06603774	3403.48067633	3149.28318584	3823.98194131	3290.0	4030.98594848	4303.31473214	3734.80719794	3965.01635514	3952.51578947	4235.0155902	3524.35978836	3847.1505102	n/a	3348.25225225	n/a
alpha_rarefaction_50005_2.txt	50005	2	4660.28472222	3288.48837209	4028.18571429	3397.74065421	3733.34645669	3979.38848921	n/a	3479.34417344	3575.87965616	3578.77932961	3657.89330544	4141.49360614	3891.48429319	3622.46004843	3865.98026316	3456.39655172	3112.59942363	3718.69525959	3466.36	3964.94312796	4219.39030023	3729.40159574	3895.25641026	3726.01113586	4328.54449153	3378.695	3583.35915493	n/a	3324.82985075	n/a
alpha_rarefaction_50005_3.txt	50005	3	4661.58962264	3215.28688525	3876.63741339	3479.05343511	3645.29251701	3944.88235294	n/a	3509.82633053	3402.90277778	3572.05444126	3739.75974026	3980.34037559	3891.60253165	3679.65316456	3791.85874439	3417.715	3099.47674419	3759.24881517	3412.74594595	3810.15604396	4263.32692308	3731.50793651	3864.6302521	3818.20103093	4132.48329621	3546.17098446	3767.34536082	n/a	3340.3836858	n/a
alpha_rarefaction_50005_4.txt	50005	4	4691.48448687	3315.76966292	3807.96666667	3369.30166271	3816.6070529	4027.30843373	n/a	3398.17460317	3575.48137536	3658.71987952	3716.67956989	3838.24475524	3699.4841629	3690.42685851	3913.0	3377.76600985	3067.29041096	3725.4137931	3456.05932203	4087.84328358	4281.08370044	3642.33915212	3977.90846682	3728.24361949	4337.36879433	3467.04	3716.38861386	n/a	3391.09792285	n/a
alpha_rarefaction_50005_5.txt	50005	5	4576.36774194	3170.9	3897.3627685	3418.43099274	3747.02409639	4078.85820896	n/a	3454.62125341	3336.2601626	3578.90462428	3631.60460251	3958.49278846	3839.69806763	3625.10416667	3729.248394	3383.20481928	3068.82882883	3793.0	3411.27777778	4016.68027211	4396.56375839	3610.00488998	4138.93842365	3761.66506024	4117.60393873	3462.41714286	3782.64864865	n/a	3281.2892562	n/a
alpha_rarefaction_50005_6.txt	50005	6	4522.39832285	3222.00833333	3880.04783599	3354.4569378	3779.69811321	4111.11971831	n/a	3440.05614973	3325.456	3746.64035088	3723.11738149	3911.96984925	3683.39344262	3687.10513447	4016.69306931	3407.34963325	3121.26011561	3768.73890339	3459.08196721	3932.35581395	4258.37554585	3654.97831325	4014.70212766	3808.65763547	4169.13836478	3389.32697548	3770.8957346	n/a	3295.12931034	n/a
alpha_rarefaction_50005_7.txt	50005	7	4495.84632035	3344.07717042	3780.10961969	3393.47721823	3603.64335664	4031.87264151	n/a	3444.56910569	3325.74393531	3479.19834711	3638.2185567	3934.88028169	4023.72279793	3588.12880562	3929.37745098	3434.25944584	3183.53943218	3738.59310345	3395.0078125	3979.22222222	4248.89579158	3854.37765957	3901.44025157	3806.8957346	4209.76344086	3632.15041783	3870.01007557	n/a	3226.26300578	n/a
alpha_rarefaction_50005_8.txt	50005	8	4538.35483871	3163.00287356	3893.74680851	3411.88943489	3623.59529412	3908.76412776	n/a	3380.28165375	3456.79883382	3560.64705882	3644.0989011	3905.86956522	3739.3646789	3687.425	3804.0	3510.27506427	2994.15591398	3728.81609195	3571.13832853	4027.01204819	4256.31057269	3708.97172237	4026.55097614	3814.21303258	4293.18240343	3461.07608696	3804.79328165	n/a	3352.64819945	n/a
alpha_rarefaction_50005_9.txt	50005	9	4538.38970588	3290.66773163	4058.26056338	3436.70229008	3747.00240385	4006.15970516	n/a	3541.07514451	3284.32432432	3512.4047619	3662.49578059	3862.27459954	3953.79683377	3660.71046229	3869.50724638	3419.55025126	3068.05769231	3679.61348315	3391.17322835	4088.36720554	4333.97272727	3659.35180723	3960.96527778	3934.22222222	4267.68421053	3509.29691877	3819.32850242	n/a	3334.16034985	n/a
alpha_rarefaction_60004_0.txt	60004	0	4687.97368421	3397.61206897	4043.92948718	n/a	3755.48267898	4327.5	n/a	3629.07197943	3480.93103448	3597.07567568	3730.62577963	4048.5106383	3983.21323529	3701.27292576	3879.67515924	3499.36930456	n/a	3851.88362069	3425.7039801	4241.65033408	4394.07594937	3833.0	4125.11627907	3861.13063063	4420.97379913	3604.02645503	4069.25247525	n/a	3417.0	n/a
alpha_rarefaction_60004_1.txt	60004	1	4851.484375	3343.54441261	3982.49685535	n/a	3837.2	4273.36492891	n/a	3487.6319797	3533.2275	3719.15223097	3740.76229508	4079.88888889	3938.32692308	3706.73509934	4028.7360515	3460.46135831	n/a	3841.83150985	3558.79575597	4251.64335664	4414.09635974	3757.94471154	4134.98898678	3986.35714286	4527.28787879	3564.85714286	3940.14634146	n/a	3418.52631579	n/a
alpha_rarefaction_60004_2.txt	60004	2	4770.99082569	3307.71653543	4075.02150538	n/a	3846.39041096	4095.06008584	n/a	3581.0	3624.64864865	3761.36283186	3740.77083333	3962.50547046	4087.49635036	3743.15420561	3893.34615385	3487.95081967	n/a	3825.18831169	3520.0	4309.97051597	4420.02070393	3813.0075188	4073.05919662	3933.03480278	4468.21181263	3594.0972973	3859.27459954	n/a	3445.81967213	n/a
