	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc30	515rcbc28	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_20008_7.txt	20008	7	115.05024	102.62833	114.53439	107.67782	110.87184	111.05737	n/a	104.56927	103.34457	108.23859	116.99068	112.56831	109.63805	108.23244	113.96449	109.28015	102.83619	115.75203	105.17341	113.59127	119.98814	111.94631	115.69252	111.95724	121.63733	107.90551	109.07648	114.3228	99.49374	101.19458
alpha_rarefaction_20008_8.txt	20008	8	119.61418	103.1218	112.68777	108.74155	111.97592	111.18501	n/a	106.9831	102.43127	105.87826	118.17277	112.67466	111.25453	109.74607	114.37341	110.20735	102.55243	113.52043	103.09917	113.77101	118.58866	113.82445	115.9507	113.01584	120.13538	107.58979	107.70887	114.10022	101.38354	103.52104
alpha_rarefaction_20008_9.txt	20008	9	118.72564	103.79757	113.22493	108.83446	109.12087	114.55498	n/a	104.09989	102.87572	109.19074	117.65978	112.4426	111.79944	111.43921	114.02263	109.31363	104.74015	116.11444	101.32065	112.87656	120.72034	112.68225	116.37382	113.30779	120.62769	109.83399	111.39459	114.71572	100.22463	102.34674
alpha_rarefaction_30007_0.txt	30007	0	130.49673	112.50855	125.67115	120.65586	123.25186	124.13711	n/a	115.38823	113.94993	121.1194	130.15477	125.50093	125.04453	123.47952	127.53108	120.91349	115.27306	126.83852	115.00036	125.43261	134.14451	125.78381	129.23871	124.10058	133.34416	120.21319	120.68815	126.46869	112.61622	112.78569
alpha_rarefaction_30007_1.txt	30007	1	132.70499	116.99156	126.66588	121.8319	123.50664	122.59359	n/a	117.73204	111.63588	119.20483	130.38335	129.0491	124.5224	124.99285	126.31081	118.84537	115.18383	126.78052	115.47126	127.44607	135.46516	123.93068	132.66438	124.1978	135.60121	118.24158	117.54388	125.67812	110.5212	112.54973
alpha_rarefaction_30007_2.txt	30007	2	130.82843	113.0977	127.05785	121.93719	121.26899	123.51283	n/a	115.52524	114.08787	121.81949	128.60059	125.279	123.82103	123.56813	127.54665	120.29801	113.3576	125.91236	114.52042	125.34279	132.78091	127.1405	129.49905	126.21008	133.5968	118.1361	118.44368	124.98083	109.47838	112.79144
alpha_rarefaction_30007_3.txt	30007	3	130.04529	114.685	127.17188	119.76102	121.16753	124.08236	n/a	117.97454	116.01862	120.40309	128.91857	128.49049	123.08174	126.87881	126.20427	121.31249	114.83646	125.2128	116.77972	124.96218	133.97255	126.85641	130.82753	124.77321	135.43203	119.79461	119.66447	127.62725	108.73439	111.80958
alpha_rarefaction_30007_4.txt	30007	4	134.22949	112.83569	127.38483	121.58564	123.06917	123.89684	n/a	117.41626	116.00911	119.40163	131.41001	125.95228	124.88555	123.11296	127.53677	121.52557	113.05984	126.64919	115.83023	126.26478	132.97927	126.44972	130.80813	123.61088	133.98093	118.64529	121.62842	126.54727	111.56867	112.75353
alpha_rarefaction_30007_5.txt	30007	5	131.75622	112.40175	126.09563	123.03104	120.44163	124.2318	n/a	116.66751	115.73039	120.195	128.45413	130.40973	122.94974	124.44312	129.88748	120.44809	113.55897	126.30898	114.3307	124.95957	132.65613	125.16218	131.84596	126.86667	133.42645	119.30225	123.47186	125.14727	113.3893	112.19513
alpha_rarefaction_30007_6.txt	30007	6	129.3797	113.42901	125.4407	121.71943	123.11469	122.77741	n/a	114.3064	114.17303	119.44622	130.56752	128.4421	124.68004	125.46526	128.0412	120.30978	113.13364	124.26178	115.39107	124.55538	135.85828	124.86833	130.77044	122.4141	133.60841	121.45581	120.25258	124.0771	111.26686	112.40352
alpha_rarefaction_30007_7.txt	30007	7	132.92559	115.06572	124.80462	121.52379	122.30364	125.15803	n/a	114.30934	113.31002	120.73796	129.28536	127.86255	122.82597	127.28951	127.8225	119.50859	112.7955	128.77778	111.63928	125.0858	133.62829	124.91777	132.02812	123.17659	132.82716	117.67582	122.5023	125.64458	111.75678	111.64108
alpha_rarefaction_30007_8.txt	30007	8	132.14832	114.89485	128.24316	124.8671	121.20424	125.29762	n/a	118.35126	118.31164	117.74153	132.40957	126.58659	125.99816	124.52567	125.16484	120.73545	112.99408	126.90758	113.83544	127.09171	134.39509	127.41797	131.74872	124.3249	134.32931	119.94993	122.36048	125.59269	110.95885	112.08688
alpha_rarefaction_30007_9.txt	30007	9	133.41296	112.85277	126.99919	120.4174	122.49865	125.55069	n/a	117.80879	114.82867	118.8639	128.31754	127.01041	124.11182	124.83969	126.24313	120.14927	116.18222	125.64106	116.50095	127.19001	136.26565	125.06261	130.12682	124.96413	134.90052	120.29833	121.60206	124.9571	111.80333	112.79579
alpha_rarefaction_40006_0.txt	40006	0	140.91741	122.22241	137.65374	129.18261	129.8765	133.97148	n/a	125.87647	123.38442	128.42996	138.54602	135.97932	135.16325	134.41154	138.10116	127.75931	119.18859	135.54472	123.35234	136.944	144.12767	133.51068	144.20237	136.23334	142.82155	126.8015	128.41988	133.73717	117.67515	n/a
alpha_rarefaction_40006_1.txt	40006	1	144.01198	120.45909	135.53353	130.67652	129.04648	135.24288	n/a	126.67232	123.32065	128.52258	138.70478	136.14061	134.13059	134.80892	135.00863	126.46148	119.78094	135.60176	124.78189	134.31445	143.43701	133.41309	143.63918	133.16371	144.46029	127.33525	130.58704	133.73475	118.91864	n/a
alpha_rarefaction_40006_2.txt	40006	2	141.54583	122.90039	134.62951	130.82651	130.95315	132.94984	n/a	124.4806	124.32401	125.44558	138.4535	136.04741	133.34325	134.02311	137.34338	127.84169	121.98367	134.45395	123.05651	134.98978	142.82531	132.20834	141.68638	132.87552	144.59133	126.63618	131.46477	133.69548	118.82332	n/a
alpha_rarefaction_40006_3.txt	40006	3	142.96318	121.06026	136.40934	130.82299	129.94298	134.14661	n/a	125.62958	123.61317	129.04741	137.29296	137.14275	134.47799	134.54084	136.30372	127.32689	121.67004	136.84046	124.85626	137.76961	144.89882	134.83663	141.73737	133.86304	143.60821	126.5711	128.86032	133.68965	120.71633	n/a
alpha_rarefaction_40006_4.txt	40006	4	141.577	122.63409	136.91258	129.46953	132.15107	133.75432	n/a	124.72078	124.90484	128.5745	139.79642	136.52627	132.4497	136.01755	137.08906	127.38456	120.34465	135.49599	122.35833	136.73854	144.06939	135.10802	141.70157	132.88419	144.77939	128.508	128.79441	133.72634	119.24136	n/a
