Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
51.523722	51.5242961	515rcbc36	0.0	515rcbc19	0.0	None	None
51.5243	51.5241	515rcbc21	0.0	515rcbc33	0.0	None	None
51.5240065	51.52422	515rcbc32	0.0	515rcbc31	0.0	None	None
51.5244894	51.5244	515rcbc37	0.0	122.352649	0.757442	9.09289972265	1.0
51.523722	51.52415	515rcbc36	0.0	515rcbc26	0.0	None	None
51.5244894	51.5242733	515rcbc37	0.0	515rcbc18	0.0	None	None
51.5242961	51.5244	515rcbc19	0.0	122.352649	0.757442	12.8965649347	1.0
51.5248	51.5240476	515rcbc8	0.0	515rcbc27	0.0	None	None
51.52424	51.5240476	515rcbc25	0.0	515rcbc27	0.0	None	None
51.5244894	51.5266048	515rcbc37	0.0	515rcbc30	0.0	None	None
51.52424	51.5237466	515rcbc25	0.0	515rcbc35	0.0	None	None
51.5240065	51.5241	515rcbc32	0.0	515rcbc33	0.0	None	None
51.5244894	51.535722	515rcbc37	0.0	515rcbc12	0.0	None	None
51.523722	51.5243	515rcbc36	0.0	515rcbc21	0.0	None	None
51.52453	51.5243	515rcbc13	0.0	515rcbc21	0.0	None	None
51.5241494	51.5241141	515rcbc34	0.0	515rcbc10	0.0	None	None
51.5266048	51.5245	515rcbc30	0.0	515rcbc11	0.0	None	None
51.52453	51.535722	515rcbc13	0.0	515rcbc12	0.0	None	None
51.524641	51.5237466	515rcbc17	0.0	515rcbc35	0.0	None	None
51.52457	51.52461	515rcbc16	0.0	515rcbc14	0.0	None	None
51.5244	51.5245	122.352649	0.757442	515rcbc11	0.0	6.81221592245	1.0
51.5240065	51.5237466	515rcbc32	0.0	515rcbc35	0.0	None	None
51.52453	51.52457	515rcbc13	0.0	515rcbc16	0.0	None	None
51.5240065	51.5242961	515rcbc32	0.0	515rcbc19	0.0	None	None
51.52457	51.5242733	515rcbc16	0.0	515rcbc18	0.0	None	None
51.52453	51.52415	515rcbc13	0.0	515rcbc26	0.0	None	None
51.523722	51.52422	515rcbc36	0.0	515rcbc31	0.0	None	None
51.524641	51.5241141	515rcbc17	0.0	515rcbc10	0.0	None	None
51.5240476	51.5237466	515rcbc27	0.0	515rcbc35	0.0	None	None
51.524541	51.5266048	515rcbc24	0.0	515rcbc30	0.0	None	None
51.5240065	51.5248	515rcbc32	0.0	515rcbc8	0.0	None	None
51.52453	51.5244	515rcbc13	0.0	122.352649	0.757442	-3.31147891347	1.0
51.523722	51.5242733	515rcbc36	0.0	515rcbc18	0.0	None	None
51.5242961	51.5266048	515rcbc19	0.0	515rcbc30	0.0	None	None
51.524541	51.5237466	515rcbc24	0.0	515rcbc35	0.0	None	None
51.5244894	51.5248	515rcbc37	0.0	515rcbc8	0.0	None	None
51.52446	51.5248	515rcbc23	0.0	515rcbc8	0.0	None	None
51.52422	51.524641	515rcbc31	0.0	515rcbc17	0.0	None	None
51.5242733	51.5239	515rcbc18	0.0	515rcbc28	0.0	None	None
51.523722	51.52461	515rcbc36	0.0	515rcbc14	0.0	None	None
51.5242733	51.535722	515rcbc18	0.0	515rcbc12	0.0	None	None
51.52415	51.5241141	515rcbc26	0.0	515rcbc10	0.0	None	None
51.52424	51.52461	515rcbc25	0.0	515rcbc14	0.0	None	None
51.524339	51.5242961	515rcbc29	0.0	515rcbc19	0.0	None	None
51.524541	51.524641	515rcbc24	0.0	515rcbc17	0.0	None	None
51.52457	51.5243	515rcbc16	0.0	515rcbc21	0.0	None	None
51.524541	51.5241	515rcbc24	0.0	515rcbc33	0.0	None	None
51.52424	51.524641	515rcbc25	0.0	515rcbc17	0.0	None	None
51.535722	51.5237466	515rcbc12	0.0	515rcbc35	0.0	None	None
51.5244894	51.5241141	515rcbc37	0.0	515rcbc10	0.0	None	None
51.52477	51.5240065	515rcbc9	0.0	515rcbc32	0.0	None	None
51.5244894	51.5243	515rcbc37	0.0	515rcbc21	0.0	None	None
51.52477	51.52461	515rcbc9	0.0	515rcbc14	0.0	None	None
51.52446	51.5241	515rcbc23	0.0	515rcbc33	0.0	None	None
51.535722	51.5241141	515rcbc12	0.0	515rcbc10	0.0	None	None
51.52457	51.52415	515rcbc16	0.0	515rcbc26	0.0	None	None
51.5242961	51.52422	515rcbc19	0.0	515rcbc31	0.0	None	None
51.5244894	51.523722	515rcbc37	0.0	515rcbc36	0.0	None	None
51.52453	51.5239	515rcbc13	0.0	515rcbc28	0.0	None	None
51.524541	51.5248	515rcbc24	0.0	515rcbc8	0.0	None	None
51.5242733	51.5245	515rcbc18	0.0	515rcbc11	0.0	None	None
51.52453	51.5248	515rcbc13	0.0	515rcbc8	0.0	None	None
51.52424	51.5243	515rcbc25	0.0	515rcbc21	0.0	None	None
51.52422	51.5248	515rcbc31	0.0	515rcbc8	0.0	None	None
51.523722	51.524339	515rcbc36	0.0	515rcbc29	0.0	None	None
51.52424	51.52422	515rcbc25	0.0	515rcbc31	0.0	None	None
51.52424	51.5241141	515rcbc25	0.0	515rcbc10	0.0	None	None
51.5241	51.5245	515rcbc33	0.0	515rcbc11	0.0	None	None
51.52457	51.5240476	515rcbc16	0.0	515rcbc27	0.0	None	None
51.5243	51.5241141	515rcbc21	0.0	515rcbc10	0.0	None	None
51.5244894	51.5242961	515rcbc37	0.0	515rcbc19	0.0	None	None
51.5245	51.52415	515rcbc11	0.0	515rcbc26	0.0	None	None
51.5241494	51.52415	515rcbc34	0.0	515rcbc26	0.0	None	None
51.52424	51.5239	515rcbc25	0.0	515rcbc28	0.0	None	None
51.52477	51.524641	515rcbc9	0.0	515rcbc17	0.0	None	None
51.5243	51.52415	515rcbc21	0.0	515rcbc26	0.0	None	None
51.5240065	51.52446	515rcbc32	0.0	515rcbc23	0.0	None	None
51.5248	51.524641	515rcbc8	0.0	515rcbc17	0.0	None	None
51.5240065	51.5243	515rcbc32	0.0	515rcbc21	0.0	None	None
51.5242961	51.5241494	515rcbc19	0.0	515rcbc34	0.0	None	None
51.52477	51.5241141	515rcbc9	0.0	515rcbc10	0.0	None	None
51.523722	51.5245	515rcbc36	0.0	515rcbc11	0.0	None	None
51.52453	51.5241	515rcbc13	0.0	515rcbc33	0.0	None	None
51.52424	51.5248	515rcbc25	0.0	515rcbc8	0.0	None	None
51.5241494	51.5245	515rcbc34	0.0	515rcbc11	0.0	None	None
51.52457	51.524541	515rcbc16	0.0	515rcbc24	0.0	None	None
51.524339	51.524541	515rcbc29	0.0	515rcbc24	0.0	None	None
51.524339	51.5239	515rcbc29	0.0	515rcbc28	0.0	None	None
51.524541	51.52461	515rcbc24	0.0	515rcbc14	0.0	None	None
51.52477	51.5239	515rcbc9	0.0	515rcbc28	0.0	None	None
51.52477	51.52415	515rcbc9	0.0	515rcbc26	0.0	None	None
51.523722	51.5240476	515rcbc36	0.0	515rcbc27	0.0	None	None
51.524339	51.52415	515rcbc29	0.0	515rcbc26	0.0	None	None
51.523722	51.524541	515rcbc36	0.0	515rcbc24	0.0	None	None
51.52422	51.535722	515rcbc31	0.0	515rcbc12	0.0	None	None
51.52422	51.52461	515rcbc31	0.0	515rcbc14	0.0	None	None
51.524541	51.5242961	515rcbc24	0.0	515rcbc19	0.0	None	None
51.52477	51.523722	515rcbc9	0.0	515rcbc36	0.0	None	None
51.524641	51.5245	515rcbc17	0.0	515rcbc11	0.0	None	None
51.524541	51.5244	515rcbc24	0.0	122.352649	0.757442	7.05541142803	1.0
51.524339	51.52446	515rcbc29	0.0	515rcbc23	0.0	None	None
51.523722	51.524641	515rcbc36	0.0	515rcbc17	0.0	None	None
51.524339	51.5243	515rcbc29	0.0	515rcbc21	0.0	None	None
51.52461	51.52446	515rcbc14	0.0	515rcbc23	0.0	None	None
51.5242733	51.52461	515rcbc18	0.0	515rcbc14	0.0	None	None
51.52422	51.5244	515rcbc31	0.0	122.352649	0.757442	4.89352682771	1.0
51.5240065	51.5239	515rcbc32	0.0	515rcbc28	0.0	None	None
51.535722	51.5266048	515rcbc12	0.0	515rcbc30	0.0	None	None
51.52424	51.52446	515rcbc25	0.0	515rcbc23	0.0	None	None
51.52457	51.524641	515rcbc16	0.0	515rcbc17	0.0	None	None
51.52461	51.5244	515rcbc14	0.0	122.352649	0.757442	0.321735637215	1.0
51.52457	51.5241	515rcbc16	0.0	515rcbc33	0.0	None	None
51.524339	51.5244	515rcbc29	0.0	122.352649	0.757442	11.5301851013	1.0
51.52446	51.524641	515rcbc23	0.0	515rcbc17	0.0	None	None
51.5244894	51.524339	515rcbc37	0.0	515rcbc29	0.0	None	None
51.5242961	51.5237466	515rcbc19	0.0	515rcbc35	0.0	None	None
51.5242961	51.5239	515rcbc19	0.0	515rcbc28	0.0	None	None
51.5244894	51.5241	515rcbc37	0.0	515rcbc33	0.0	None	None
51.52446	51.5243	515rcbc23	0.0	515rcbc21	0.0	None	None
51.535722	51.5245	515rcbc12	0.0	515rcbc11	0.0	None	None
51.5242961	51.5241141	515rcbc19	0.0	515rcbc10	0.0	None	None
51.5240065	51.524339	515rcbc32	0.0	515rcbc29	0.0	None	None
51.52422	51.52415	515rcbc31	0.0	515rcbc26	0.0	None	None
