	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc30	515rcbc28	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
515rcbc16	0.236715257647	0.186423406765	0.168203315294	0.180656738235	0.147038135294	0.142154405	0.209525857059	0.230199626471	0.132663350588	0.132982278529	0.188017570588	0.167904111176	0.232394972353	0.106680488824	0.163682629706	0.161684266176	0.130730517059	0.133959582353	0.0	0.120595147647	0.129239152353	0.192387323529	0.134743995	0.131580012647	0.121639073235	0.134488493529	0.160033747647	0.177009907059	0.326135642941
515rcbc19	0.1980282	0.150131010294	0.175792381176	0.184092416471	0.168433414118	0.0959223526471	0.205063378235	0.225214007647	0.131710408235	0.0984588161765	0.179106871176	0.163799277647	0.220031160588	0.100154188235	0.124598183824	0.129545299706	0.135548298824	0.122575019412	0.120595147647	0.0	0.139009437647	0.199400956471	0.153973140294	0.145440705	0.163552447353	0.114141225882	0.149843799412	0.221136544706	0.294050661176
515rcbc9	0.258115161176	0.176252950294	0.139898861765	0.133999742353	0.172304183529	0.184410304412	0.200527476471	0.164133846471	0.147177419412	0.134314340294	0.128914968235	0.133059322941	0.200820221176	0.156946618235	0.156301871471	0.159452853235	0.133222575882	0.190106947059	0.129239152353	0.139009437647	0.0	0.125155209412	0.106838924412	0.116648103824	0.145256457941	0.131762401176	0.192727910588	0.232603122353	0.354460171176
515rcbc30	0.313720451176	0.209362053235	0.154174482353	0.140398667059	0.212921398824	0.235905517353	0.206523098235	0.132157284706	0.195872334706	0.187703065588	0.131045790588	0.139742248235	0.178475552353	0.218752025882	0.200306167941	0.210633526765	0.200113512353	0.221488055294	0.192387323529	0.199400956471	0.125155209412	0.0	0.163234286176	0.159683001471	0.208468781471	0.159006711765	0.218577642353	0.289749947647	0.40267265
515rcbc28	0.262857519706	0.156759928824	0.138775185	0.134206313824	0.147758465	0.196412475882	0.182570458529	0.164228922647	0.109306481471	0.164675414118	0.123093016176	0.125246634412	0.231164442647	0.171114707941	0.148994280588	0.156196717647	0.135757556765	0.188161776176	0.134743995	0.153973140294	0.106838924412	0.163234286176	0.0	0.131021340588	0.112826434706	0.148411372647	0.217236037353	0.202436445	0.382551722647
515rcbc29	0.245750375588	0.159048268824	0.101141855588	0.114608703824	0.141336990294	0.180113081176	0.145571292059	0.181811072647	0.127757557941	0.123211915882	0.136136063235	0.100587769118	0.202256093235	0.154733292647	0.118241023529	0.146712589412	0.150630971471	0.195119212059	0.131580012647	0.145440705	0.116648103824	0.159683001471	0.131021340588	0.0	0.132988121176	0.120666760294	0.195941131471	0.232275845	0.328908146176
515rcbc14	0.235913283824	0.172547543529	0.155085534412	0.169010557353	0.113591000882	0.203731072941	0.178585536765	0.221642597941	0.0974406926471	0.156085834706	0.164735950294	0.150475709706	0.262432250882	0.160480028529	0.1534014	0.152717640588	0.144640872059	0.197561947353	0.121639073235	0.163552447353	0.145256457941	0.208468781471	0.112826434706	0.132988121176	0.0	0.163680853235	0.222329703235	0.196063370294	0.355579402059
515rcbc10	0.213644749412	0.126964832059	0.152917727059	0.155557996471	0.159167794118	0.142300210294	0.184739589412	0.195062876471	0.125761746471	0.119195223235	0.170783471765	0.13503801	0.198423262353	0.130937652941	0.114347019706	0.133828258529	0.146661774706	0.140858721176	0.134488493529	0.114141225882	0.131762401176	0.159006711765	0.148411372647	0.120666760294	0.163680853235	0.0	0.152386275882	0.221728753529	0.315414189412
515rcbc8	0.252952667647	0.190571630294	0.21716816	0.218913031176	0.198787763529	0.147662203235	0.245067835294	0.257396101765	0.184658331176	0.164104107353	0.226400300588	0.208578393529	0.225366104118	0.137231167059	0.186172909118	0.193529932647	0.201733871176	0.118147172941	0.160033747647	0.149843799412	0.192727910588	0.218577642353	0.217236037353	0.195941131471	0.222329703235	0.152386275882	0.0	0.184685103529	0.337405718824
515rcbc25	0.302353068824	0.239290655588	0.248030986471	0.259734777059	0.186255263529	0.213880702059	0.260635084118	0.301073673529	0.18693075	0.238076384412	0.266730615294	0.237762635882	0.319667601765	0.192873370588	0.233528648529	0.246953063235	0.238307922353	0.171347034706	0.177009907059	0.221136544706	0.232603122353	0.289749947647	0.202436445	0.232275845	0.196063370294	0.221728753529	0.184685103529	0.0	0.364144774118
