	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc30	515rcbc28	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_10207_8.txt	10207	8	96.71209	87.84533	90.54997	90.6416	90.461	90.42283	85.44993	86.58514	88.47805	98.21811	92.46707	92.37295	88.16719	95.67671	91.34224	87.99343	92.81957	87.25195	94.90501	99.02054	94.30271	94.51304	94.65285	99.75185	89.72178	91.08486	94.75781	81.91359	82.4748
alpha_rarefaction_10207_9.txt	10207	9	96.09327	86.5628	90.72967	90.21612	89.16018	93.35471	87.70797	85.12195	89.19028	97.70687	95.14232	92.88727	90.3003	92.60884	90.60677	89.17744	94.83482	83.78155	90.51877	100.13309	92.72015	95.01415	91.83746	100.07072	90.70422	92.21617	94.96142	84.88978	84.30053
alpha_rarefaction_13606_0.txt	13606	0	105.47381	92.50653	100.62659	97.70379	98.15092	99.77591	94.20623	92.06881	96.04336	105.48277	101.89963	100.20772	99.30349	104.17665	95.31265	93.94258	101.50185	92.24248	103.78173	109.47388	101.41743	104.50957	103.31818	106.24455	98.12775	98.68979	100.4574	87.50185	89.13528
alpha_rarefaction_13606_1.txt	13606	1	105.66647	93.41224	100.95275	96.6283	96.53148	99.9652	96.66751	92.5567	97.29054	105.26823	101.80033	99.30239	98.11929	101.86428	96.89069	93.18246	104.81495	92.88158	101.52414	109.17583	101.37533	106.68468	102.19714	108.98229	96.73763	98.08203	103.28614	91.36015	92.60535
alpha_rarefaction_13606_2.txt	13606	2	104.91649	92.21328	99.60119	97.89687	100.06586	99.85766	94.54251	90.95738	98.99723	106.55786	101.03517	96.81383	97.33267	103.15689	98.01876	93.04461	104.26697	94.13348	102.53306	107.99135	101.80795	102.94723	101.53625	107.75261	97.04263	98.179	101.8505	89.89094	92.12539
alpha_rarefaction_13606_3.txt	13606	3	107.60327	93.55701	101.50543	96.89739	95.29882	99.2274	96.73173	94.16567	96.6529	106.63635	101.68452	102.60798	100.00645	103.5582	97.14572	94.01799	101.85747	97.37515	99.50969	108.98492	102.80707	103.56427	101.59627	107.83926	95.69361	96.05574	105.45651	89.55576	89.97609
alpha_rarefaction_13606_4.txt	13606	4	104.32083	92.3048	101.93682	99.28688	97.75992	98.30084	94.82985	92.7898	96.9439	106.75991	103.10073	101.46541	98.81403	103.07696	98.47841	92.83699	102.44251	91.58441	101.75309	107.71769	104.62053	106.41241	104.7666	107.93056	96.51543	98.96158	102.87452	88.80496	92.89277
alpha_rarefaction_13606_5.txt	13606	5	107.41309	94.29755	99.68697	94.99003	95.83342	100.20971	94.87494	93.06417	96.90803	106.23334	105.33688	100.81163	100.08823	104.99628	97.07218	93.66319	102.83693	91.95494	102.77845	107.14326	102.8929	105.54515	98.76315	107.10667	98.37657	95.57647	103.52515	89.39541	91.72615
alpha_rarefaction_13606_6.txt	13606	6	104.8319	94.58717	99.63829	97.93234	98.83497	95.79671	93.97686	93.54809	96.08708	107.28617	102.33552	100.48634	97.77855	102.14231	98.19416	92.71355	104.67355	93.8227	102.60572	109.83361	99.95044	105.11317	99.83553	106.80349	97.49713	98.19345	100.18066	91.71426	90.19491
alpha_rarefaction_13606_7.txt	13606	7	106.51687	92.03497	100.64349	98.88007	98.10314	97.76657	96.03566	92.99617	97.16815	106.49372	99.77908	101.0332	99.17642	102.85461	97.4264	94.4143	102.63244	93.31383	99.80018	108.7254	104.59401	103.64529	97.87035	107.87353	97.63692	99.1517	103.50038	91.13797	91.56414
