Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
-0.131	-0.13123	515rcbc8	0.0	515rcbc13	0.0	None	None
-0.13122	-0.1312857	515rcbc9	0.0	515rcbc10	0.0	None	None
-0.131135	-0.1309	515rcbc29	0.0	3257.22090136	189.592494085	2.33217940343	1.0
-0.131	-0.13064	515rcbc8	0.0	515rcbc16	0.0	None	None
-0.131135	-0.13133	515rcbc29	0.0	515rcbc19	0.0	None	None
-0.13074	-0.131043	515rcbc26	0.0	515rcbc24	0.0	None	None
-0.131	-0.130722	515rcbc8	0.0	515rcbc36	0.0	None	None
-0.1302	-0.159251	515rcbc31	0.0	515rcbc12	0.0	None	None
-0.1316	-0.131043	515rcbc11	0.0	515rcbc24	0.0	None	None
-0.1310242	-0.13064	515rcbc27	0.0	515rcbc16	0.0	None	None
-0.1302	-0.13122	515rcbc31	0.0	515rcbc9	0.0	None	None
-0.13074	-0.13133	515rcbc26	0.0	515rcbc19	0.0	None	None
-0.1300144	-0.13133	515rcbc32	0.0	515rcbc19	0.0	None	None
-0.130722	-0.131043	515rcbc36	0.0	515rcbc24	0.0	None	None
-0.1307983	-0.13103	515rcbc18	0.0	515rcbc14	0.0	None	None
-0.130722	-0.13123	515rcbc36	0.0	515rcbc13	0.0	None	None
-0.1308888	-0.1332937	515rcbc35	0.0	515rcbc30	0.0	None	None
-0.1300144	-0.131135	515rcbc32	0.0	515rcbc29	0.0	None	None
-0.13103	-0.13122	515rcbc14	0.0	515rcbc9	0.0	None	None
-0.1307983	-0.130816	515rcbc18	0.0	515rcbc34	0.0	None	None
-0.13074	-0.1312857	515rcbc26	0.0	515rcbc10	0.0	None	None
-0.1332937	-0.13049	515rcbc30	0.0	515rcbc23	0.0	None	None
-0.1307983	-0.13074	515rcbc18	0.0	515rcbc26	0.0	None	None
-0.13053	-0.1309	515rcbc25	0.0	3257.22090136	189.592494085	-0.858220884221	1.0
-0.1316	-0.1332937	515rcbc11	0.0	515rcbc30	0.0	None	None
-0.13064	-0.131086	515rcbc16	0.0	515rcbc17	0.0	None	None
-0.13072	-0.130722	515rcbc22	0.0	515rcbc36	0.0	None	None
